"YLD_BE_BLUP","AGSPP_BLUP","IEMERG_BLUP","LDSR_CERCZM_BLUP","SRSR_COLLGR_BLUP","LDSR_CORBNE_BLUP","ERSR_GIBBFU_BLUP","ERSR_GIBBZE_BLUP","LDSR_NLBR1_BLUP","LDSR_PUCCPY_BLUP","LDSR_TARSC_BLUP","Index","group","RM"
0,0,0,0,0,-2.962916591,0,-0.259828068,0,0,0,"index_55","J","Subtropical dessert"
0,-2.245656544,0,-5.423117017,-0.065941292,-2.70050902,0,-2.337164581,-8.483738016,0,0,"index_56","A","Humid subtropical"
0.906893383,-2.047093483,0,0,0,-19.88501604,0,-0.103327335,-2.838959133,0,0,"index_57","A","Humid continental b"
0,-2.480764169,0,0,0,0,-0.702766503,-2.017733171,0,0,0,"index_58","F","Mid-latitude steppe"
0,-2.879926571,0,0,0,0,0,-0.833197267,-0.598690387,0,-1.637357684,"index_59","I","mid-latitude desert"
0.90116539,-2.616590265,0,-9.751966648,0,0,0,-1.416707822,0,-10.01259971,-5.217614747,"index_60","E","Humid continental b"
0,-2.866066766,5.462031802,-1.490496369,0,-3.330560545,-0.334842249,-2.284893987,0,0,-0.031639762,"index_61","F","mid-latitude desert"
0,0,5.426249983,0,0,0,0,0,0,0,0,"index_62","C","mid-latitude desert"
0,0,4.975252111,0,-0.638806262,0,0,0,0,-0.296620517,0,"index_63","E","mid-latitude desert"
0,-2.010897091,0,-5.932393444,-0.892268102,0,0,-0.605620199,-5.750925595,0,0,"index_64","C","Humid continental b"
0,-2.185673952,0,-8.631558508,0,0,-0.517435659,0,0,-0.107301402,0,"index_65","J","Subtropical dessert"
0,0,0,0,0,0,-0.958274053,-0.546761964,0,0,0,"index_66","J","Subtropical steppe"
0,0,0,0,-0.533712329,-0.455228663,-0.488521946,0,-0.482808749,0,-2.325522507,"index_67","E","Subtropical dessert"
0,0,0,0,0,0,-0.139266595,-0.205970383,-0.489976686,0,0,"index_68","C","Humid subtropical"
0,-0.611155606,0,-0.018966138,0,0,0,-0.484960817,0,0,0,"index_69","G","Mediterranean b"
0,-2.418395044,4.313989655,0,0,-2.89872479,-0.129214069,-0.017791462,0,-4.172555953,0,"index_70","I","Mid-latitude steppe"
0,-4.099003924,0,0,0,0,0,0,-1.015799388,0,0,"index_71","G","Humid continental b"
0.554228273,-2.032614926,0,0,-0.420375734,0,-0.243038795,-1.404336574,-0.647671285,0,0,"index_72","F","Subtropical steppe"
0,-5.118687144,0,-0.04585484,0,0,0,0,0,0,-1.241860659,"index_73","B","Humid continental b"
0.69645306,-1.104714357,5.861921909,-10.82144715,0,-3.248861888,-0.172420753,0,0,-14.42782922,0,"index_74","I","Humid subtropical"
1.285354087,-1.331908068,0,0,0,0,-0.2176163,-2.511399896,0,0,-3.021597271,"index_75","E","Mid-latitude steppe"
0,-0.571984277,0,0,0,0,-0.437461559,-0.211444679,-0.140810528,0,-2.934587926,"index_76","B","Subtropical dessert"
0,-1.688367166,0,0,0,0,0,-0.767217275,-4.261913081,0,-2.570730663,"index_77","B","Humid continental b"
0,-0.524978682,5.846679279,0,0,-3.791574391,-0.289646702,0,-8.34359379,0,-2.887128283,"index_78","H","mid-latitude desert"
0,0,0,-0.605150294,-0.486317025,0,0,0,0,0,0,"index_79","C","Humid subtropical"
0,-2.543133295,0,0,0,-18.93224717,0,0,0,-7.912150721,-0.300577739,"index_80","F","Humid continental b"
0,-2.573624867,0,-10.10846015,-0.418315068,-4.748615794,0,-0.57324817,-0.181881484,0,0,"index_81","E","Equatorial savanna w"
0,-2.576396828,0,0,-0.337949119,0,0,-2.081619453,0,0,0,"index_82","H","Humid continental a"
0,-2.292194761,0,0,0,-8.689981857,0,0,-5.050204462,0,-6.50144876,"index_83","A","Humid continental a"
0,0,0,0,-0.072123288,0,0,0,0,-16.95694127,-1.89838572,"index_84","E","Humid subtropical"
0,-3.325648672,0,-7.281975976,0,0,-0.495288985,0,-6.206394332,-0.027007836,0,"index_85","J","Humid subtropical"
0,-2.148443379,0,-7.867643867,0,0,0,0,0,0,0,"index_86","D","Subtropical steppe"
0.987388216,-1.237896877,5.040407457,0,0,-20.31376203,-0.452841193,0,0,0,0,"index_87","I","Humid continental b"
0,0,0,-0.089780427,0,0,0,0,-8.623882243,-10.35553016,0,"index_88","B","Subtropical steppe"
0,-2.23221217,0,-3.297080927,0,0,0,0,0,0,0,"index_89","I","Mid-latitude steppe"
0,-2.918734027,0,0,-0.061819961,0,0,0,0,-0.295048679,0,"index_90","D","Humid subtropical"
0,-4.522917172,0,0,0,-3.044615248,-0.346141136,0,0,0,0,"index_91","F","mid-latitude desert"
0,-0.117596855,0,-0.14647834,0,-3.849930574,0,-0.923919756,0,0,0,"index_92","F","Humid subtropical"
0,0,4.344801405,0,0,0,0,0,0,-3.055916315,0,"index_93","A","Mediterranean b"
0,-0.810929387,0,-3.644040876,-0.54195499,-1.720610033,0,0,0,0,0,"index_94","C","Mediterranean b"
0,-1.905410465,0,-0.198369665,0,-1.952082235,0,-0.374601627,0,-2.707872791,0,"index_95","F","Subtropical steppe"
0,0,5.670216928,-2.160487993,0,0,0,-1.344542206,0,0,-1.827196256,"index_96","A","Mid-latitude steppe"
0,0,0,0,-0.739778865,-2.067818336,-0.443613413,0,-0.367323074,-0.837138852,0,"index_97","F","Mediterranean b"
0,-1.969529787,0,0,0,0,-0.863959186,0,-0.659617846,0,0,"index_98","H","Sub-arctic"
0,-2.281852935,0,-0.00312101,-1.017968689,-8.88053563,-0.245157336,0,0,-8.212214862,0,"index_99","F","Mediterranean b"
0,-2.326322787,0,-3.428686425,0,-15.31172548,0,0,0,0,0,"index_100","C","Humid continental a"
0,-2.551449178,0,0,0,0,0,0,-0.143299677,0,0,"index_101","J","Humid continental a"
0,0,0,-9.802894291,0,-3.552314041,-0.360563385,0,-0.252822227,-1.025662427,0,"index_102","B","Subtropical steppe"
0,0,0,-0.046094918,0,-1.080203608,0,0,0,0,0,"index_103","E","Humid continental b"
0,-3.159520507,4.217702937,-0.110270267,0,0,-0.508823064,0,0,-0.420795743,0,"index_104","B","Humid subtropical"
0,-3.274091656,4.818532057,-0.011763807,0,0,-0.322131002,-1.506642915,0,0,-6.954566647,"index_105","C","Sub-arctic"
0,0,0,0,0,0,0,0,-0.429049227,-1.446215018,0,"index_106","A","Mid-latitude steppe"
0,0,0,-4.404564162,-0.234915851,0,0,-0.693907552,0,0,-3.31426507,"index_107","B","Humid subtropical"
0,-2.665099584,0,0,0,-3.931629231,-0.460223418,-0.003421435,0,0,0,"index_108","F","Sub-arctic"
0,-4.620302648,0,0,0,0,-0.462068974,-1.045570367,0,-0.361065888,0,"index_109","I","Subtropical dessert"
0,0,0,-6.950946298,0,-3.651519552,0,-0.620334758,0,0,0,"index_110","D","Humid subtropical"
0.935533345,-0.180270982,0,0,0,-2.887053553,0,0,0,0,0,"index_111","I","Mediterranean b"
0.932669349,0,0,0,0,-0.740711046,0,-2.209392017,-7.415138288,-0.411364714,-2.823848759,"index_112","C","Sub-arctic"
0.921213364,-5.187429833,0,-9.650111363,0,-3.453108529,0,0,-2.601800142,0,0,"index_113","F","Subtropical steppe"
0,-2.775978029,0,-0.104937295,0,0,-0.153353881,0,0,-16.4425456,-3.116516557,"index_114","B","Humid continental b"
0,-2.392061413,5.023822459,0,0,-9.73802761,-0.339785512,0,0,0,0,"index_115","H","Subtropical steppe"
0,-2.762118224,0,0,0,0,0,-1.243510343,0,0,0,"index_116","D","Mid-latitude steppe"
0,-2.491852014,0,0,0,-3.27803998,-0.279760176,0,0,-12.88464221,0,"index_117","J","Mid-latitude steppe"
0,0,0,0,-0.661473581,0,0,0,-0.176903187,-0.106571461,0,"index_118","F","Mid-latitude steppe"
0.936249344,-3.594890871,4.961036399,0,0,0,-0.454071564,-1.282685964,-0.714572024,0,-8.144001101,"index_119","A","Humid continental b"
0,0,0,0,0,-3.091300194,-0.094685824,0,-4.765875937,-8.640877921,-5.642412766,"index_120","J","Equatorial savanna w"
0,-2.717766846,0,0,-0.822205479,0,0,0,0,0,0,"index_121","F","Humid subtropical"
0,-2.863294805,0,-0.988002651,0,0,-0.123969272,0,0,-0.060585146,0,"index_122","G","Humid subtropical"
0,-4.127646711,0,-0.133566934,-0.086547945,-4.10669778,0,0,0,0,0,"index_123","H","Humid subtropical"
0.97918841,-4.242217859,0,-9.675575184,-0.17309589,-21.07597712,0,0,0,-0.008029357,0,"index_124","B","Subtropical dessert"
0,0,4.891709962,0,0,0,-0.908544396,-0.627692037,0,0,0,"index_125","J","Subtropical steppe"
0,-2.042956752,0,-3.500471242,-0.039152642,-3.978314177,0,0,0,-11.77011825,-0.094919286,"index_126","J","Humid continental a"
0,-1.010703167,0,0,0,-4.620232191,0,-0.389316185,0,-3.926025124,0,"index_127","D","Subtropical dessert"
0,-2.963085405,0,0,0,0,0,0,0,0,0,"index_128","H","Subtropical dessert"
0,-3.35429146,0,-10.74505568,0,0,0,-0.164228877,-2.201594344,0,-1.700637208,"index_129","F","Mediterranean b"
0,-2.344938074,0,0,0,0,0,0,0,0,-1.866745958,"index_130","C","Subtropical steppe"
1.010347673,-2.334596248,5.748286351,-9.420936971,0,0,-0.35195079,-0.736289154,-5.312974887,-0.401933684,-1.194401016,"index_131","A","mid-latitude desert"
0,-2.746872437,0,0,-0.836630137,-9.547473837,0,0,-0.34367616,0,-2.586550544,"index_132","J","mid-latitude desert"
0,-2.656783701,0,-1.717814956,0,-4.526862298,0,0,0,0,0,"index_133","D","Equatorial savanna w"
0,-2.037785839,5.266858246,-0.026168469,0,0,-0.471911941,-1.35485158,0,0,0,"index_134","H","Humid continental b"
0,0,0,-11.02515772,-0.171035225,-0.956751767,-0.117413276,-1.010518496,-0.327496692,-2.490345589,0,"index_135","F","Mid-latitude steppe"
0,0,0,-0.052817093,-0.063880626,-3.96664294,0,-0.09306303,0,-0.45144659,0,"index_136","F","Humid continental b"
0,-5.416572129,5.836517526,0,0,0,-0.099493555,0,-0.10471787,-0.365781403,-3.377544594,"index_137","J","Humid subtropical"
0,-4.820802158,0,0,0,-4.550204771,0,0,-3.980286778,-0.172996139,0,"index_138","E","Humid subtropical"
0,-4.047446907,0,0,0,0,-0.047482655,0,-0.418297322,0,-3.812591322,"index_139","D","mid-latitude desert"
0,-2.911804124,5.585641721,0,0,-3.167163232,0,-0.109485918,0,0,0,"index_140","E","Mid-latitude steppe"
0,0,0,0,0,0,-0.570725689,-3.109607809,0,0,-4.047060206,"index_141","H","Mid-latitude steppe"
0,0,4.429533717,-2.938156843,0,0,-0.429464149,-0.130014527,0,0,-1.843016137,"index_142","D","Humid subtropical"
0,-5.307729538,5.887326292,0,0,0,-0.205611232,-2.00030964,0,0,0,"index_143","F","Mid-latitude steppe"
1.167250616,0,0,0,0,-0.609543465,0,0,-2.527687957,-7.826418109,-3.741401857,"index_144","B","Subtropical dessert"
0,0,0,-3.572256059,0,0,-0.162534227,0,-7.905643081,-2.649865537,0,"index_145","B","Humid continental a"
0.760079938,-1.566936045,0,0,0,0,0,-1.953846889,0,0,0,"index_146","H","Mediterranean b"
0,-2.455816519,0,0,0,0,0,-1.227015345,-0.593911762,0,-1.41587935,"index_147","J","Humid continental b"
0.996408003,-3.027763687,0,0,0,0,-0.565581241,-2.784368555,0,0,-4.707857124,"index_148","G","Mid-latitude steppe"
0,-3.497505395,0,0,0,0,0,-2.389435176,0,0,0,"index_149","E","Humid subtropical"
0,-1.085128693,5.22131775,0,0,0,-0.187956722,-0.010264305,0,-13.01324113,-7.55872383,"index_150","F","Humid continental b"
0,-5.313458096,4.772314432,-0.14030332,0,0,0,-0.222393271,0,0,0,"index_151","E","Subtropical steppe"
0.919781366,0,0,-0.079395165,0,0,0,-0.053374385,0,0,-4.056500162,"index_152","F","Mid-latitude steppe"
0,-5.342100883,0,0,0,0,0,-0.148490276,-3.787595098,0,0,"index_153","B","Humid continental b"
0,-2.196015779,5.116224586,0,0,0,-0.213379217,0,-5.453119114,-0.866142479,0,"index_154","D","Mid-latitude steppe"
0,-2.687275273,0,0,0,0,0,0,0,0,-8.219520748,"index_155","H","Mediterranean b"
0,0,0,-0.003361088,0,0,0,-0.806392896,-0.072358935,-0.40507736,0,"index_156","E","Humid continental b"
0,-2.364341802,0,-0.032410489,0,-4.322615657,0,0,0,0,-0.371767204,"index_157","I","Subtropical steppe"
0,-2.897944319,0,0,0,0,-0.480524536,0,0,0,0,"index_158","C","Humid continental b"
0,-1.371079398,0,-0.038172354,0,0,-0.689047977,-2.604325397,0,0,0,"index_159","D","Humid continental b"
0,0,4.587443934,-0.130479424,0,0,0,-2.993450933,-0.639308693,-0.151097893,0,"index_160","J","Mediterranean b"
0,0,0,0,-0.156610568,0,0,0,0,0,-7.634243478,"index_161","C","Subtropical dessert"
0,0,5.164794935,0,-0.696504892,0,-0.714770214,0,0,0,0,"index_162","J","Mid-latitude steppe"
0,-2.226007074,0,-3.560291923,0,0,0,-2.110658672,-0.329985841,-2.664367351,0,"index_163","F","Humid continental b"
0,-3.090777818,0,-0.109708901,-0.022667319,0,0,0,-0.083560105,0,-7.615363566,"index_164","D","Mid-latitude steppe"
0,-3.445948378,0,0,0,0,-0.215497758,0,-0.561656049,-1.373705951,0,"index_165","A","Subtropical steppe"
0,-2.351867977,0,-0.146197657,0,-0.01543148,-0.216910119,0,-8.571328158,0,-1.431699231,"index_166","C","Humid subtropical"
0,0,0,0,0,-9.88094294,0,-1.959654733,0,-0.619611649,-2.104044173,"index_167","I","Humid continental a"
0,-1.002868901,5.130440298,0,0,0,0,-1.39815095,-0.356121904,-1.156178748,-1.73227697,"index_168","G","Subtropical dessert"
0,0,0,0,0,-2.746998714,0,-2.372011644,0,0,-1.558258279,"index_169","F","Subtropical dessert"
0,-1.335825201,0,-0.082763358,0,0,-0.444843783,-0.876496637,0,0,-2.610280365,"index_170","J","Subtropical steppe"
0,-2.591642614,0,-0.00624202,-0.900510763,-9.30928162,0,-0.132751675,0,0,-0.917553098,"index_171","G","Humid continental b"
0,0,0,0,0,0,-0.111294347,0,0,-5.425904978,-2.309702626,"index_172","B","Mediterranean b"
0,-3.067863589,5.113855301,0,0,0,0,0,0,0,0,"index_173","I","Humid continental a"
0,-1.096880091,0,-1.059787468,0,0,0,-1.564721354,0,-0.259682317,-3.029507212,"index_174","H","Subtropical steppe"
0,-0.967614704,0,0,0,-2.875382317,-0.197137067,0,0,-0.051095906,0,"index_175","C","mid-latitude desert"
0,-1.735372761,0,-0.068182066,0,0,-0.279053996,0,0,0,0,"index_176","F","Mid-latitude steppe"
0,-2.385131511,0,-4.328172698,0,-2.62335162,-0.560436794,0,0,0,0,"index_177","A","Subtropical dessert"
0.906177384,-2.27978457,5.001314249,-0.09427135,-0.076244618,-4.725273321,-0.050979186,-2.900525432,0,0,0,"index_178","A","Mid-latitude steppe"
0,0,5.533595439,-1.741743228,0,-2.345584978,-0.160415686,0,-1.549407118,-9.583936652,0,"index_179","J","Subtropical steppe"
0,-5.559786065,0,0,0,-0.879594367,-0.175951655,0,0,-0.337488313,0,"index_180","J","Mediterranean b"
0,-0.430967491,0,0,-0.642927593,0,-0.484830834,0,0,0,0,"index_181","I","Mid-latitude steppe"
0,0,4.949481993,0,0,-4.188396436,0,0,-0.394404201,0,0,"index_182","H","Mediterranean b"
0,0,5.007237462,0,0,0,0,0,-0.277713715,0,0,"index_183","G","Humid continental a"
0,-2.227041257,0,-0.186405529,-0.560500978,0,-0.069335974,-1.06412724,-0.648865941,0,-0.450866609,"index_184","G","Humid continental a"
0,0,6.080399601,0,0,-0.802436966,0,-0.406973656,-0.695457527,-17.85713369,-7.284965106,"index_185","C","Mid-latitude steppe"
0.741366151,-2.389289452,0,-0.024247847,0,0,-0.060594647,-0.618863302,-0.205528399,-13.09897374,0,"index_186","D","Mid-latitude steppe"
0,-2.030546561,0,0,0,0,0,-3.289650967,-0.667980438,-0.381499786,0,"index_187","H","Equatorial savanna w"
0,0,0,-4.531883269,0,0,-0.761070239,0,0,0,-6.510888716,"index_188","E","Subtropical steppe"
0,0,0,0,-0.451285714,-4.345958131,-0.77307395,0,0,-0.338274232,0,"index_189","A","Sub-arctic"
0,-2.350481997,0,0,-0.500741683,0,0,-2.662403835,0,0,-1.518708576,"index_190","G","Mediterranean b"
0,0,5.780815277,-6.645380442,-0.807780822,-10.73843492,0,0,0,0,-0.363857263,"index_191","C","Humid continental b"
0,0,6.107497609,-0.61711443,0,0,0,-0.18612606,-8.816580555,0,0,"index_192","C","Subtropical steppe"
0.946389185,0,0,0,0,0,0,0,-7.993233223,0,0,"index_193","E","Humid subtropical"
0,0,0,-9.930213398,0,-19.0751625,0,-0.683607361,0,-0.391716735,0,"index_194","G","Subtropical steppe"
0,-3.193891852,0,-0.092587254,0,0,0,-0.071850134,0,-2.591858283,0,"index_195","H","Mid-latitude steppe"
0.655282727,-2.462746422,0,0,0,0,0,0,-0.793462833,0,-2.159413757,"index_196","I","Sub-arctic"
0,-0.564150011,0,0,0,-7.927766764,0,-0.062954403,0,0,0,"index_197","G","Subtropical steppe"
0,-2.192913231,4.979990681,0,-0.651170254,0,-0.209142134,0,-8.413665903,0,-5.028815627,"index_198","F","Mediterranean b"
0,0,0,0,0,-0.316345342,0,0,-9.429711547,-2.272818387,-5.623532854,"index_199","J","Humid continental b"
0,0,4.263920562,-6.41620605,0,-4.649410283,0,0,-5.873551794,0,0,"index_200","A","Humid continental a"
0,-1.863008978,4.36020728,-0.03024979,0,0,0,0,-0.662007158,0,-5.519693338,"index_201","J","Humid continental b"
0,-3.245448869,0,-4.964768232,0,0,0,0,-0.235398185,0,-0.996652503,"index_202","B","Mid-latitude steppe"
0.882549414,0,0,0,0,-1.496853571,-0.522710847,0,-0.144544252,-0.030657544,0,"index_203","E","Humid subtropical"
1.171793057,0,6.100723107,-5.143014982,0,0,0,0,0,0,0,"index_204","B","Humid subtropical"
1.344405823,0,0,-0.143952195,0,0,0,-1.412584073,0,0,-1.178581135,"index_205","B","Mediterranean b"
0,-2.684503312,0,-0.145074926,0,0,0,0,-0.188104357,-0.00948924,-6.945126691,"index_206","G","Mid-latitude steppe"
0,-3.526148182,0,0,0,-8.928174074,0,0,-5.365528972,-4.042039632,0,"index_207","H","Mid-latitude steppe"
0,0,0,0,0,-0.686700865,-0.620455346,-0.174493182,0,-0.084673215,0,"index_208","H","Subtropical dessert"
0,-2.881312552,0,-0.023047459,0,0,0,0,-2.572155268,-0.221958198,-6.492008804,"index_209","F","Humid subtropical"
0,-1.897137004,0,0,-0.605835616,0,0,-2.499784208,0,0,-6.123850521,"index_210","A","Subtropical dessert"
0,-0.262530774,0,0,0,0,0,0,-0.20303925,0,-2.910858104,"index_211","J","Humid continental b"
0,-0.301702104,6.066850597,-6.059712551,-0.010303327,-4.45099926,0,-1.049694116,0,0,0,"index_212","H","Humid continental b"
0,-0.348707699,0,0,0,0,-0.288940522,0,-0.523427055,-0.200733916,0,"index_213","G","mid-latitude desert"
0,-2.80369764,0,0,0,-1.874924834,0,-1.323923459,-0.149522549,0,0,"index_214","G","Humid continental a"
0,-2.533431431,0,0,0,0,0,-1.113612234,-0.307583501,-10.39839646,0,"index_215","C","Mid-latitude steppe"
0,-2.209460152,0,0,0,0,0,-0.004790009,0,-0.305265628,-2.942497866,"index_216","G","Sub-arctic"
0,0,0,-0.059299191,0,-3.418094819,-0.100804754,-0.009580018,-0.553293457,0,0,"index_217","E","Subtropical dessert"
0,0,0,-0.032890644,-0.723293542,-3.032944011,0,0,-7.327548146,-0.449874752,0,"index_218","J","Subtropical dessert"
0,-1.606107374,5.478296265,0,0,0,0,0,0,0,-2.879218342,"index_219","F","Humid subtropical"
0,-2.017102187,5.088977805,-5.168478803,0,0,-0.524425663,-1.148664105,0,0,-6.794087396,"index_220","J","Humid continental b"
0,-3.348562902,5.631182217,-10.08299633,0,0,-0.163240407,0,-6.609308984,0,-1.004562444,"index_221","B","Mediterranean b"
0,-2.235314718,0,0,0,-0.586396244,0,-0.117013075,0,-0.35870813,-0.403406966,"index_222","D","Mediterranean b"
0,0,4.934076118,-2.088703176,0,-3.155491995,0,-2.087427297,0,0,-0.197748513,"index_223","F","Subtropical dessert"
0,-2.633222031,0,0,0,-1.026193428,0,0,-0.122141912,0,0,"index_224","H","Humid continental a"
0.890425404,0,0,0,0,-17.6460092,0,0,-0.541346896,-15.92814993,-1.42378929,"index_225","H","Subtropical steppe"
0,0,4.729948276,0,-0.655291585,-3.143820759,0,-0.763093526,0,0,0,"index_226","G","Humid continental b"
0,0,4.737651214,-0.038892587,0,0,-0.905114764,-1.194025349,0,-0.764629784,-4.396338577,"index_227","B","Mediterranean b"
0,-3.119420606,5.637688002,-0.401759979,0,0,0,-0.679192993,0,0,-5.850091798,"index_228","C","Humid subtropical"
0,0,0,0,0,0,0,-2.180352798,-0.480419437,0,0,"index_229","B","Mid-latitude steppe"
0,-3.84121884,0,0,0,0,0,0,0,0,0,"index_230","A","Humid continental b"
0,-2.988033055,4.468048404,-5.652291409,0,0,0,0,0,-2.736876418,-6.45424898,"index_231","J","Humid subtropical"
0,-2.224972892,0,0,0,0,0,0,0,-0.648615276,0,"index_232","E","mid-latitude desert"
